"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"145442","IL","Not Available","Not Available","03/02/2025"
"145443","IL","36.0","1.5","03/02/2025"
"145445","IL","67.7","4.5","03/02/2025"
"145446","IL","Not Available","Not Available","03/02/2025"
"145447","IL","54.2","2.2","03/02/2025"
"145449","IL","Not Available","Not Available","03/02/2025"
"145450","IL","57.7","0.0","03/02/2025"
"145452","IL","46.5","0.0","03/02/2025"
"145453","IL","61.0","0.0","03/02/2025"
"145454","IL","Not Available","Not Available","03/02/2025"
"145456","IL","0.0","0.0","03/02/2025"
"145457","IL","2.6","51.1","03/02/2025"
"145458","IL","43.4","4.2","03/02/2025"
"145460","IL","87.7","87.2","03/02/2025"
"145464","IL","57.1","2.3","03/02/2025"
"145465","IL","33.3","6.5","03/02/2025"
"145466","IL","80.0","0.0","03/02/2025"
"145468","IL","84.4","0.0","03/02/2025"
"145469","IL","0.0","2.8","03/02/2025"
"145470","IL","37.0","1.9","03/02/2025"
"145473","IL","Not Available","Not Available","03/02/2025"
"145476","IL","57.4","0.0","03/02/2025"
"145478","IL","0.0","0.0","03/02/2025"
"145479","IL","87.5","5.5","03/02/2025"
"145480","IL","0.0","0.7","03/02/2025"
"145482","IL","39.0","0.0","03/02/2025"
"145483","IL","62.5","2.1","03/02/2025"
"145484","IL","44.1","4.9","03/02/2025"
"145486","IL","52.8","5.1","03/02/2025"
"145488","IL","66.7","Not Available","03/02/2025"
"145489","IL","Not Available","Not Available","03/02/2025"
"145494","IL","58.4","14.8","03/02/2025"
"145495","IL","25.6","0.0","03/02/2025"
"145497","IL","64.9","0.0","03/02/2025"
"145499","IL","32.1","1.5","03/02/2025"
"145500","IL","Not Available","Not Available","03/02/2025"
"145502","IL","Not Available","Not Available","03/02/2025"
"145507","IL","Not Available","Not Available","03/02/2025"
"145508","IL","63.9","0.0","03/02/2025"
"145510","IL","65.3","9.5","03/02/2025"
"145511","IL","43.5","0.0","03/02/2025"
"145514","IL","61.1","6.1","03/02/2025"
"145515","IL","76.2","0.8","03/02/2025"
"145517","IL","0.0","0.0","03/02/2025"
"145518","IL","0.0","0.0","03/02/2025"
"145519","IL","58.1","0.0","03/02/2025"
"145522","IL","80.2","1.1","03/02/2025"
"145524","IL","Not Available","Not Available","03/02/2025"
"145526","IL","37.9","30.5","03/02/2025"
"145527","IL","22.4","4.1","03/02/2025"
"145532","IL","75.0","11.9","03/02/2025"
"145536","IL","76.9","10.2","03/02/2025"
"145538","IL","59.0","6.3","03/02/2025"
"145546","IL","0.0","0.0","03/02/2025"
"145547","IL","65.7","2.6","03/02/2025"
"145548","IL","36.8","26.8","03/02/2025"
"145549","IL","0.0","0.0","03/02/2025"
"145552","IL","25.0","2.4","03/02/2025"
"145555","IL","Not Available","Not Available","03/02/2025"
"145556","IL","61.0","1.0","03/02/2025"
"145557","IL","46.6","0.0","03/02/2025"
"145563","IL","27.1","1.5","03/02/2025"
"145571","IL","61.3","10.5","03/02/2025"
"145572","IL","50.0","14.8","03/02/2025"
"145581","IL","87.5","57.1","03/02/2025"
"145582","IL","49.4","0.0","03/02/2025"
"145584","IL","62.4","0.0","03/02/2025"
"145585","IL","81.0","0.0","03/02/2025"
"145591","IL","12.7","0.0","03/02/2025"
"145593","IL","59.1","9.6","03/02/2025"
"145596","IL","51.4","0.0","03/02/2025"
"145597","IL","43.9","5.0","03/02/2025"
"145598","IL","9.1","0.0","03/02/2025"
"145600","IL","38.7","0.0","03/02/2025"
"145601","IL","Not Available","Not Available","03/02/2025"
"145602","IL","47.8","18.5","03/02/2025"
"145603","IL","65.6","10.3","03/02/2025"
"145604","IL","6.3","0.0","03/02/2025"
"145606","IL","Not Available","Not Available","03/02/2025"
"145607","IL","26.4","1.6","03/02/2025"
"145608","IL","36.8","2.4","03/02/2025"
"145609","IL","1.9","0.0","03/02/2025"
"145610","IL","47.1","0.0","03/02/2025"
"145611","IL","47.6","1.5","03/02/2025"
"145612","IL","48.8","Not Available","03/02/2025"
"145613","IL","40.8","0.0","03/02/2025"
"145614","IL","71.6","1.6","03/02/2025"
"145615","IL","51.7","1.1","03/02/2025"
"145616","IL","57.4","10.1","03/02/2025"
"145619","IL","44.6","0.0","03/02/2025"
"145620","IL","Not Available","Not Available","03/02/2025"
"145621","IL","49.4","0.0","03/02/2025"
"145623","IL","31.6","3.5","03/02/2025"
"145624","IL","53.8","3.4","03/02/2025"
"145625","IL","0.0","Not Available","03/02/2025"
"145626","IL","28.0","4.1","03/02/2025"
"145628","IL","Not Available","Not Available","03/02/2025"
"145629","IL","25.0","5.0","03/02/2025"
"145630","IL","32.8","100.0","03/02/2025"
"145631","IL","36.2","0.0","03/02/2025"
"145632","IL","26.3","0.0","03/02/2025"
"145634","IL","49.7","5.9","03/02/2025"
"145636","IL","Not Available","Not Available","03/02/2025"
"145637","IL","41.5","1.2","03/02/2025"
"145638","IL","54.8","1.9","03/02/2025"
"145639","IL","34.5","Not Available","03/02/2025"
"145643","IL","20.0","2.1","03/02/2025"
"145646","IL","32.2","0.0","03/02/2025"
"145647","IL","31.8","0.0","03/02/2025"
"145648","IL","48.6","0.9","03/02/2025"
"145649","IL","48.5","0.0","03/02/2025"
"145650","IL","36.5","14.4","03/02/2025"
"145651","IL","Not Available","Not Available","03/02/2025"
"145652","IL","35.9","2.4","03/02/2025"
"145654","IL","18.7","1.8","03/02/2025"
"145655","IL","15.5","0.0","03/02/2025"
"145656","IL","57.1","11.9","03/02/2025"
"145657","IL","37.1","1.9","03/02/2025"
"145658","IL","Not Available","Not Available","03/02/2025"
"145659","IL","66.7","9.3","03/02/2025"
"145660","IL","0.0","0.0","03/02/2025"
"145661","IL","Not Available","Not Available","03/02/2025"
"145662","IL","60.5","3.2","03/02/2025"
"145663","IL","38.2","7.2","03/02/2025"
"145664","IL","Not Available","Not Available","03/02/2025"
"145665","IL","40.3","18.3","03/02/2025"
"145666","IL","Not Available","Not Available","03/02/2025"
"145667","IL","35.8","7.5","03/02/2025"
"145668","IL","63.7","0.8","03/02/2025"
"145669","IL","21.3","7.5","03/02/2025"
"145670","IL","32.5","0.0","03/02/2025"
"145671","IL","Not Available","Not Available","03/02/2025"
"145673","IL","58.5","8.2","03/02/2025"
"145678","IL","62.5","4.5","03/02/2025"
"145679","IL","70.6","1.1","03/02/2025"
"145680","IL","Not Available","Not Available","03/02/2025"
"145681","IL","Not Available","Not Available","03/02/2025"
"145683","IL","50.8","2.6","03/02/2025"
"145684","IL","13.3","0.6","03/02/2025"
"145685","IL","39.0","3.5","03/02/2025"
"145688","IL","55.4","0.0","03/02/2025"
"145689","IL","57.0","2.0","03/02/2025"
"145691","IL","0.0","0.0","03/02/2025"
"145692","IL","26.1","0.0","03/02/2025"
"145694","IL","54.5","6.9","03/02/2025"
"145696","IL","50.5","1.5","03/02/2025"
"145697","IL","6.7","0.5","03/02/2025"
"145699","IL","46.2","5.3","03/02/2025"
"145700","IL","28.0","0.0","03/02/2025"
"145701","IL","76.0","Not Available","03/02/2025"
"145702","IL","61.9","0.0","03/02/2025"
"145703","IL","Not Available","Not Available","03/02/2025"
"145704","IL","45.8","2.4","03/02/2025"
"145706","IL","59.7","5.1","03/02/2025"
"145708","IL","Not Available","Not Available","03/02/2025"
"145710","IL","50.6","7.4","03/02/2025"
"145711","IL","33.3","3.7","03/02/2025"
"145712","IL","11.0","9.8","03/02/2025"
"145713","IL","31.0","6.0","03/02/2025"
"145714","IL","90.8","99.0","03/02/2025"
"145715","IL","Not Available","Not Available","03/02/2025"
"145717","IL","59.2","8.9","03/02/2025"
"145718","IL","Not Available","Not Available","03/02/2025"
"145719","IL","62.7","1.1","03/02/2025"
"145720","IL","58.2","9.2","03/02/2025"
"145721","IL","51.6","73.3","03/02/2025"
"145724","IL","81.6","0.5","03/02/2025"
"145726","IL","Not Available","Not Available","03/02/2025"
"145727","IL","Not Available","Not Available","03/02/2025"
"145728","IL","74.4","3.9","03/02/2025"
"145729","IL","43.3","0.0","03/02/2025"
"145730","IL","50.7","2.5","03/02/2025"
"145731","IL","38.7","4.1","03/02/2025"
"145732","IL","42.9","5.1","03/02/2025"
"145733","IL","54.1","5.3","03/02/2025"
"145734","IL","45.0","7.9","03/02/2025"
"145735","IL","38.1","0.0","03/02/2025"
"145736","IL","62.2","0.0","03/02/2025"
"145737","IL","51.5","0.0","03/02/2025"
"145739","IL","39.6","18.7","03/02/2025"
"145740","IL","36.8","0.0","03/02/2025"
"145741","IL","66.1","1.4","03/02/2025"
"145743","IL","Not Available","Not Available","03/02/2025"
"145748","IL","Not Available","Not Available","03/02/2025"
"145751","IL","15.3","4.0","03/02/2025"
"145752","IL","Not Available","Not Available","03/02/2025"
"145753","IL","Not Available","Not Available","03/02/2025"
"145757","IL","2.2","1.5","03/02/2025"
"145758","IL","12.4","3.4","03/02/2025"
"145759","IL","34.3","3.3","03/02/2025"
"145760","IL","3.2","0.0","03/02/2025"
"145761","IL","53.7","4.3","03/02/2025"
"145764","IL","43.6","Not Available","03/02/2025"
"145765","IL","57.9","2.4","03/02/2025"
"145767","IL","54.5","23.8","03/02/2025"
"145768","IL","59.5","1.0","03/02/2025"
"145769","IL","100.0","0.0","03/02/2025"
"145770","IL","85.7","5.7","03/02/2025"
"145771","IL","52.9","2.2","03/02/2025"
"145772","IL","45.6","4.9","03/02/2025"
"145773","IL","39.7","2.2","03/02/2025"
"145774","IL","43.6","4.5","03/02/2025"
"145775","IL","62.7","17.6","03/02/2025"
"145776","IL","Not Available","Not Available","03/02/2025"
"145778","IL","32.4","0.0","03/02/2025"
"145779","IL","0.0","0.0","03/02/2025"
"145781","IL","43.1","0.0","03/02/2025"
"145783","IL","57.1","0.0","03/02/2025"
"145784","IL","45.1","Not Available","03/02/2025"
"145785","IL","56.0","11.5","03/02/2025"
"145786","IL","63.6","10.6","03/02/2025"
"145789","IL","49.2","8.9","03/02/2025"
"145791","IL","60.9","0.0","03/02/2025"
"145792","IL","0.0","0.0","03/02/2025"
"145793","IL","36.7","3.1","03/02/2025"
"145794","IL","50.0","Not Available","03/02/2025"
"145795","IL","55.6","3.1","03/02/2025"
"145796","IL","68.1","1.7","03/02/2025"
"145798","IL","28.6","16.4","03/02/2025"
"145800","IL","61.6","0.0","03/02/2025"
"145801","IL","58.2","3.7","03/02/2025"
"145803","IL","59.7","48.6","03/02/2025"
"145804","IL","88.9","100.0","03/02/2025"
"145806","IL","84.0","12.0","03/02/2025"
"145807","IL","Not Available","Not Available","03/02/2025"
"145809","IL","63.3","2.0","03/02/2025"
"145811","IL","35.7","2.9","03/02/2025"
"145813","IL","0.0","0.0","03/02/2025"
"145816","IL","74.7","3.2","03/02/2025"
"145818","IL","59.3","Not Available","03/02/2025"
"145819","IL","62.2","Not Available","03/02/2025"
"145820","IL","42.9","1.6","03/02/2025"
"145821","IL","57.6","4.6","03/02/2025"
"145825","IL","63.0","48.4","03/02/2025"
"145827","IL","63.0","8.7","03/02/2025"
"145828","IL","40.8","10.6","03/02/2025"
"145829","IL","64.6","0.0","03/02/2025"
"145830","IL","52.1","1.1","03/02/2025"
"145832","IL","Not Available","Not Available","03/02/2025"
"145834","IL","21.2","0.0","03/02/2025"
"145835","IL","66.0","0.0","03/02/2025"
"145836","IL","57.9","0.0","03/02/2025"
"145837","IL","52.0","0.0","03/02/2025"
"145838","IL","62.1","9.2","03/02/2025"
"145839","IL","84.4","5.0","03/02/2025"
"145840","IL","83.5","76.3","03/02/2025"
"145841","IL","8.4","0.0","03/02/2025"
"145842","IL","62.9","20.3","03/02/2025"
"145843","IL","Not Available","0.0","03/02/2025"
"145844","IL","64.9","10.4","03/02/2025"
"145846","IL","76.2","0.0","03/02/2025"
"145847","IL","58.8","0.0","03/02/2025"
"145850","IL","4.6","4.8","03/02/2025"
"145851","IL","64.9","2.3","03/02/2025"
"145852","IL","30.4","0.0","03/02/2025"
"145853","IL","82.8","8.6","03/02/2025"
"145857","IL","22.4","0.0","03/02/2025"
"145858","IL","Not Available","Not Available","03/02/2025"
"145860","IL","23.4","0.8","03/02/2025"
"145862","IL","42.6","36.1","03/02/2025"
"145863","IL","Not Available","Not Available","03/02/2025"
"145864","IL","40.5","0.0","03/02/2025"
"145866","IL","81.8","5.1","03/02/2025"
"145867","IL","41.4","3.0","03/02/2025"
"145868","IL","49.1","4.9","03/02/2025"
"145869","IL","38.5","0.0","03/02/2025"
"145872","IL","61.2","0.0","03/02/2025"
"145874","IL","67.3","3.3","03/02/2025"
"145875","IL","42.9","4.2","03/02/2025"
"145877","IL","54.3","2.2","03/02/2025"
"145878","IL","80.9","3.2","03/02/2025"
"145879","IL","Not Available","Not Available","03/02/2025"
"145880","IL","59.1","1.9","03/02/2025"
"145881","IL","Not Available","Not Available","03/02/2025"
"145883","IL","69.9","0.6","03/02/2025"
"145885","IL","Not Available","Not Available","03/02/2025"
"145886","IL","59.1","0.0","03/02/2025"
"145887","IL","78.3","15.5","03/02/2025"
"145888","IL","63.3","0.0","03/02/2025"
"145890","IL","59.0","0.0","03/02/2025"
"145892","IL","59.5","0.7","03/02/2025"
"145893","IL","26.0","0.7","03/02/2025"
"145895","IL","55.6","20.9","03/02/2025"
"145897","IL","Not Available","Not Available","03/02/2025"
"145898","IL","Not Available","0.0","03/02/2025"
"145899","IL","30.3","12.8","03/02/2025"
"145901","IL","56.0","5.5","03/02/2025"
"145903","IL","48.7","0.0","03/02/2025"
"145904","IL","50.8","0.0","03/02/2025"
"145905","IL","Not Available","Not Available","03/02/2025"
"145906","IL","13.1","3.8","03/02/2025"
"145907","IL","57.6","0.0","03/02/2025"
"145908","IL","75.0","9.8","03/02/2025"
"145909","IL","15.9","0.0","03/02/2025"
"145910","IL","36.4","0.0","03/02/2025"
"145911","IL","56.9","0.9","03/02/2025"
"145913","IL","60.0","0.0","03/02/2025"
"145914","IL","1.5","0.0","03/02/2025"
"145917","IL","31.0","13.7","03/02/2025"
"145918","IL","0.0","4.9","03/02/2025"
"145920","IL","50.8","2.3","03/02/2025"
"145921","IL","13.3","5.8","03/02/2025"
"145922","IL","37.1","27.9","03/02/2025"
"145923","IL","Not Available","Not Available","03/02/2025"
"145927","IL","Not Available","Not Available","03/02/2025"
"145928","IL","Not Available","Not Available","03/02/2025"
"145930","IL","Not Available","Not Available","03/02/2025"
"145931","IL","43.8","1.2","03/02/2025"
"145932","IL","60.0","93.4","03/02/2025"
"145933","IL","40.7","11.9","03/02/2025"
"145935","IL","53.5","1.7","03/02/2025"
"145936","IL","Not Available","Not Available","03/02/2025"
"145937","IL","43.4","Not Available","03/02/2025"
"145938","IL","Not Available","Not Available","03/02/2025"
"145939","IL","26.8","0.0","03/02/2025"
"145942","IL","0.0","0.0","03/02/2025"
"145944","IL","39.0","0.0","03/02/2025"
"145945","IL","31.9","0.0","03/02/2025"
"145946","IL","11.3","0.0","03/02/2025"
"145947","IL","73.6","7.0","03/02/2025"
"145948","IL","13.9","2.2","03/02/2025"
"145949","IL","71.4","5.7","03/02/2025"
"145950","IL","72.0","44.8","03/02/2025"
"145952","IL","48.6","9.9","03/02/2025"
"145953","IL","54.4","7.1","03/02/2025"
"145956","IL","56.2","5.9","03/02/2025"
"145958","IL","33.3","0.0","03/02/2025"
"145960","IL","47.1","3.5","03/02/2025"
"145963","IL","79.8","0.0","03/02/2025"
"145964","IL","Not Available","Not Available","03/02/2025"
"145965","IL","Not Available","Not Available","03/02/2025"
"145967","IL","2.4","0.9","03/02/2025"
"145968","IL","1.9","19.0","03/02/2025"
"145969","IL","54.8","0.0","03/02/2025"
"145970","IL","31.6","3.9","03/02/2025"
"145971","IL","47.0","0.0","03/02/2025"
"145974","IL","74.3","36.0","03/02/2025"
"145975","IL","Not Available","Not Available","03/02/2025"
"145977","IL","47.5","0.6","03/02/2025"
"145978","IL","76.0","0.0","03/02/2025"
"145979","IL","54.8","6.8","03/02/2025"
"145980","IL","Not Available","Not Available","03/02/2025"
"145981","IL","Not Available","Not Available","03/02/2025"
"145982","IL","34.3","5.9","03/02/2025"
"145983","IL","Not Available","Not Available","03/02/2025"
"145984","IL","42.9","0.0","03/02/2025"
"145985","IL","Not Available","Not Available","03/02/2025"
"145986","IL","60.5","4.4","03/02/2025"
"145987","IL","42.3","0.0","03/02/2025"
"145989","IL","34.4","1.4","03/02/2025"
"145990","IL","Not Available","Not Available","03/02/2025"
"145993","IL","0.0","0.0","03/02/2025"
"145994","IL","47.9","2.8","03/02/2025"
"145995","IL","59.8","Not Available","03/02/2025"
"145998","IL","39.5","0.0","03/02/2025"
"145999","IL","60.0","2.6","03/02/2025"
"146000","IL","64.0","0.0","03/02/2025"
"146001","IL","61.1","1.3","03/02/2025"
"146003","IL","40.6","0.0","03/02/2025"
"146006","IL","44.6","10.6","03/02/2025"
"146007","IL","63.1","1.3","03/02/2025"
"146008","IL","26.5","0.0","03/02/2025"
"146009","IL","64.6","0.0","03/02/2025"
"146010","IL","23.8","20.7","03/02/2025"
"146011","IL","Not Available","Not Available","03/02/2025"
"146013","IL","28.9","11.2","03/02/2025"
"146014","IL","55.0","0.0","03/02/2025"
"146015","IL","0.0","2.5","03/02/2025"
"146016","IL","91.4","5.3","03/02/2025"
"146017","IL","12.5","9.1","03/02/2025"
"146018","IL","37.9","2.3","03/02/2025"
"146019","IL","Not Available","Not Available","03/02/2025"
"146020","IL","43.4","0.0","03/02/2025"
"146021","IL","55.7","4.7","03/02/2025"
"146023","IL","60.0","0.0","03/02/2025"
"146025","IL","75.0","9.9","03/02/2025"
"146026","IL","51.6","3.9","03/02/2025"
"146028","IL","64.6","2.1","03/02/2025"
"146029","IL","42.0","0.0","03/02/2025"
"146030","IL","34.4","1.0","03/02/2025"
"146031","IL","26.5","0.4","03/02/2025"
"146032","IL","56.6","0.0","03/02/2025"
"146033","IL","43.2","4.2","03/02/2025"
"146034","IL","50.8","0.7","03/02/2025"
"146036","IL","28.0","0.0","03/02/2025"
"146037","IL","Not Available","Not Available","03/02/2025"
"146039","IL","23.9","0.0","03/02/2025"
"146040","IL","50.9","0.0","03/02/2025"
"146041","IL","22.2","0.0","03/02/2025"
"146042","IL","75.4","3.2","03/02/2025"
"146043","IL","0.0","1.3","03/02/2025"
"146045","IL","57.7","3.3","03/02/2025"
"146046","IL","69.8","0.0","03/02/2025"
"146047","IL","57.4","2.0","03/02/2025"
"146048","IL","48.2","1.1","03/02/2025"
"146049","IL","48.3","44.4","03/02/2025"
"146050","IL","37.5","0.0","03/02/2025"
"146051","IL","Not Available","Not Available","03/02/2025"
"146052","IL","51.3","0.0","03/02/2025"
"146053","IL","55.2","9.6","03/02/2025"
"146054","IL","0.0","0.0","03/02/2025"
"146056","IL","27.6","16.4","03/02/2025"
"146057","IL","5.3","0.0","03/02/2025"
"146058","IL","Not Available","Not Available","03/02/2025"
"146059","IL","62.1","72.3","03/02/2025"
"146061","IL","50.0","12.0","03/02/2025"
"146062","IL","75.0","5.1","03/02/2025"
"146063","IL","58.5","0.0","03/02/2025"
"146065","IL","Not Available","Not Available","03/02/2025"
"146066","IL","64.8","74.0","03/02/2025"
"146067","IL","68.1","99.0","03/02/2025"
"146068","IL","52.8","1.7","03/02/2025"
"146069","IL","14.3","2.3","03/02/2025"
"146070","IL","4.0","4.2","03/02/2025"
"146071","IL","63.6","10.7","03/02/2025"
"146075","IL","56.3","0.0","03/02/2025"
"146076","IL","43.8","0.0","03/02/2025"
"146077","IL","Not Available","Not Available","03/02/2025"
"146078","IL","69.6","58.0","03/02/2025"
"146080","IL","4.3","0.0","03/02/2025"
"146083","IL","49.5","1.7","03/02/2025"
"146084","IL","74.3","0.0","03/02/2025"
"146085","IL","Not Available","Not Available","03/02/2025"
"146086","IL","Not Available","Not Available","03/02/2025"
"146088","IL","45.8","24.5","03/02/2025"
"146090","IL","36.6","Not Available","03/02/2025"
"146091","IL","67.0","13.1","03/02/2025"
"146092","IL","12.1","0.0","03/02/2025"
"146093","IL","56.2","8.3","03/02/2025"
"146094","IL","26.1","0.9","03/02/2025"
"146095","IL","81.5","2.4","03/02/2025"
"146096","IL","0.0","0.0","03/02/2025"
"146097","IL","47.8","0.0","03/02/2025"
"146098","IL","58.8","8.2","03/02/2025"
"146099","IL","47.1","11.1","03/02/2025"
"146100","IL","4.5","0.0","03/02/2025"
"146101","IL","Not Available","Not Available","03/02/2025"
"146102","IL","47.9","1.8","03/02/2025"
"146103","IL","80.0","3.7","03/02/2025"
"146104","IL","42.6","0.0","03/02/2025"
"146105","IL","77.3","5.2","03/02/2025"
"146106","IL","50.0","0.0","03/02/2025"
"146107","IL","Not Available","Not Available","03/02/2025"
"146108","IL","48.8","0.0","03/02/2025"
"146110","IL","26.3","0.3","03/02/2025"
"146111","IL","44.8","1.0","03/02/2025"
"146112","IL","44.6","Not Available","03/02/2025"
"146113","IL","Not Available","Not Available","03/02/2025"
"146114","IL","33.9","24.3","03/02/2025"
"146116","IL","56.7","22.0","03/02/2025"
"146117","IL","49.1","0.0","03/02/2025"
"146118","IL","73.3","21.9","03/02/2025"
"146119","IL","31.9","45.5","03/02/2025"
"146121","IL","35.9","3.2","03/02/2025"
"146122","IL","100.0","54.5","03/02/2025"
"146123","IL","18.0","0.0","03/02/2025"
"146124","IL","0.0","6.3","03/02/2025"
"146125","IL","42.3","4.5","03/02/2025"
"146127","IL","0.0","0.0","03/02/2025"
"146128","IL","60.5","4.8","03/02/2025"
"146130","IL","61.4","2.6","03/02/2025"
"146131","IL","47.8","2.2","03/02/2025"
"146132","IL","58.1","6.6","03/02/2025"
"146133","IL","60.0","0.0","03/02/2025"
"146134","IL","Not Available","Not Available","03/02/2025"
"146136","IL","92.9","7.9","03/02/2025"
"146138","IL","0.0","0.0","03/02/2025"
"146139","IL","53.8","0.0","03/02/2025"
"146140","IL","89.5","0.0","03/02/2025"
"146141","IL","27.7","9.8","03/02/2025"
"146142","IL","35.3","1.1","03/02/2025"
"146143","IL","51.5","76.6","03/02/2025"
"146144","IL","42.4","0.0","03/02/2025"
"146145","IL","85.7","3.7","03/02/2025"
"146146","IL","Not Available","Not Available","03/02/2025"
"146147","IL","61.5","0.0","03/02/2025"
"146148","IL","Not Available","Not Available","03/02/2025"
"146149","IL","76.9","Not Available","03/02/2025"
"146151","IL","44.4","10.6","03/02/2025"
"146152","IL","55.3","0.0","03/02/2025"
"146153","IL","35.9","0.0","03/02/2025"
"146154","IL","39.3","1.8","03/02/2025"
"146155","IL","53.8","3.0","03/02/2025"
"146157","IL","Not Available","Not Available","03/02/2025"
"146159","IL","63.3","5.0","03/02/2025"
"146160","IL","17.7","6.7","03/02/2025"
"146161","IL","77.2","4.7","03/02/2025"
"146162","IL","Not Available","Not Available","03/02/2025"
"146164","IL","Not Available","Not Available","03/02/2025"
"146165","IL","Not Available","Not Available","03/02/2025"
"146166","IL","0.0","0.0","03/02/2025"
"146167","IL","67.6","0.0","03/02/2025"
"146168","IL","Not Available","Not Available","03/02/2025"
"146169","IL","Not Available","Not Available","03/02/2025"
"146170","IL","Not Available","Not Available","03/02/2025"
"146171","IL","40.2","0.0","03/02/2025"
"146172","IL","62.7","Not Available","03/02/2025"
"146173","IL","61.3","10.1","03/02/2025"
"146174","IL","73.9","5.6","03/02/2025"
"146175","IL","71.8","0.0","03/02/2025"
"146176","IL","69.8","0.8","03/02/2025"
"146177","IL","72.6","1.9","03/02/2025"
"146178","IL","23.1","3.3","03/02/2025"
"146179","IL","50.0","4.8","03/02/2025"
"146180","IL","74.2","2.4","03/02/2025"
"146181","IL","42.2","0.0","03/02/2025"
"146182","IL","70.9","0.0","03/02/2025"
"146183","IL","52.1","0.0","03/02/2025"
"146184","IL","47.1","23.6","03/02/2025"
"146185","IL","69.8","14.1","03/02/2025"
"146186","IL","43.6","0.0","03/02/2025"
"146187","IL","Not Available","Not Available","03/02/2025"
"146189","IL","77.4","4.0","03/02/2025"
"146191","IL","87.3","0.8","03/02/2025"
"146192","IL","13.9","5.8","03/02/2025"
"146193","IL","92.8","23.3","03/02/2025"
"146194","IL","23.2","80.0","03/02/2025"
"146195","IL","79.2","84.7","03/02/2025"
"146196","IL","0.0","3.3","03/02/2025"
"146197","IL","Not Available","Not Available","03/02/2025"
"146198","IL","0.0","3.8","03/02/2025"
"146199","IL","Not Available","Not Available","03/02/2025"
"14A357","IL","63.5","2.3","03/02/2025"
"14A383","IL","76.2","12.0","03/02/2025"
"14E095","IL","64.9","2.0","03/02/2025"
"14E169","IL","67.0","18.3","03/02/2025"
"14E177","IL","73.6","0.0","03/02/2025"
"14E212","IL","Not Available","Not Available","03/02/2025"
"14E247","IL","Not Available","Not Available","03/02/2025"
"14E264","IL","73.8","8.8","03/02/2025"
"14E306","IL","Not Available","Not Available","03/02/2025"
"14E322","IL","73.8","3.8","03/02/2025"
"14E345","IL","58.1","1.1","03/02/2025"
"14E361","IL","Not Available","Not Available","03/02/2025"
"14E392","IL","37.9","10.2","03/02/2025"
"14E579","IL","44.2","47.5","03/02/2025"
"14E701","IL","59.0","0.0","03/02/2025"
"14E812","IL","43.1","0.0","03/02/2025"
"14E847","IL","23.8","2.6","03/02/2025"
"14E848","IL","Not Available","Not Available","03/02/2025"
"14E888","IL","39.3","0.0","03/02/2025"
"155001","IN","Not Available","Not Available","03/02/2025"
"155003","IN","33.3","0.8","03/02/2025"
"155005","IN","34.2","3.1","03/02/2025"
"155006","IN","47.9","0.0","03/02/2025"
"155019","IN","0.9","0.0","03/02/2025"
"155022","IN","54.7","0.0","03/02/2025"
"155026","IN","50.7","0.8","03/02/2025"
"155029","IN","Not Available","Not Available","03/02/2025"
"155038","IN","Not Available","Not Available","03/02/2025"
"155039","IN","19.5","0.0","03/02/2025"
"155041","IN","48.8","1.1","03/02/2025"
"155042","IN","25.9","1.8","03/02/2025"
"155049","IN","27.1","0.0","03/02/2025"
"155053","IN","20.8","4.7","03/02/2025"
"155059","IN","72.0","0.0","03/02/2025"
"155061","IN","Not Available","Not Available","03/02/2025"
"155062","IN","47.3","3.7","03/02/2025"
"155064","IN","32.7","0.0","03/02/2025"
"155066","IN","Not Available","Not Available","03/02/2025"
"155070","IN","58.5","3.8","03/02/2025"
"155072","IN","Not Available","Not Available","03/02/2025"
"155073","IN","56.0","0.7","03/02/2025"
"155076","IN","1.2","0.0","03/02/2025"
"155077","IN","13.5","9.2","03/02/2025"
"155086","IN","55.1","15.0","03/02/2025"
"155089","IN","10.7","1.6","03/02/2025"
"155094","IN","45.3","0.0","03/02/2025"
"155095","IN","Not Available","Not Available","03/02/2025"
"155100","IN","Not Available","Not Available","03/02/2025"
"155102","IN","86.5","16.9","03/02/2025"
"155103","IN","Not Available","Not Available","03/02/2025"
"155104","IN","56.0","10.3","03/02/2025"
"155106","IN","Not Available","Not Available","03/02/2025"
"155109","IN","46.2","0.0","03/02/2025"
"155115","IN","Not Available","Not Available","03/02/2025"
"155118","IN","9.0","0.0","03/02/2025"
"155120","IN","1.9","0.0","03/02/2025"
"155121","IN","Not Available","Not Available","03/02/2025"
"155124","IN","50.7","0.0","03/02/2025"
"155126","IN","Not Available","Not Available","03/02/2025"
"155128","IN","43.4","1.0","03/02/2025"
"155131","IN","Not Available","Not Available","03/02/2025"
"155132","IN","Not Available","Not Available","03/02/2025"
"155133","IN","73.6","0.0","03/02/2025"
"155135","IN","Not Available","Not Available","03/02/2025"
"155136","IN","25.0","0.0","03/02/2025"
"155137","IN","50.6","4.0","03/02/2025"
"155138","IN","30.4","0.0","03/02/2025"
"155139","IN","Not Available","Not Available","03/02/2025"
"155143","IN","60.3","0.0","03/02/2025"
"155148","IN","Not Available","Not Available","03/02/2025"
"155149","IN","Not Available","Not Available","03/02/2025"
"155150","IN","57.1","0.0","03/02/2025"
